term,category,definition,source_system,field_name,regulatory_reference
Bureau Score,Credit & Risk,"A numerical score between 300 and 900 assigned by a credit information company (CIBIL, Experian, Equifax, or CRIF) that summarises an individual or business's creditworthiness based on their historical repayment behaviour. Higher scores indicate lower credit risk. A score below 650 is generally considered subprime in Indian MSME lending.",SRC-002,bureau_score,Credit Information Companies Regulation Act 2005
DPD (Days Past Due),Credit & Risk,"The number of days a borrower is late on a scheduled loan repayment, measured from the contractual due date. DPD_30 indicates at least 30 days overdue; DPD_90 indicates at least 90 days overdue. DPD_90 is the RBI threshold for classifying a loan as a Non-Performing Asset (NPA). In this dataset, dpd_30_count_12m and dpd_90_count_12m count occurrences within the prior 12 months.",SRC-002,"dpd_30_count_12m, dpd_90_count_12m",RBI Prudential Norms on Income Recognition and Asset Classification
NPA (Non-Performing Asset),Credit & Risk,A loan or advance where the borrower has not made interest or principal repayments for 90 days or more (DPD_90+). NBFCs are required by RBI to classify such assets as NPAs and make provisions against them. NPA classification directly impacts an NBFC's capital adequacy and profitability.,MDL-001,default_flag,RBI Master Direction — Non-Banking Financial Companies
Credit Utilization Ratio,Credit & Risk,"The proportion of a borrower's total available revolving credit that is currently in use, expressed as a value between 0 and 1. A ratio above 0.7 (70%) is generally considered a negative credit signal, indicating the borrower is heavily dependent on available credit. Calculated as outstanding revolving balance divided by total revolving credit limit.",SRC-002,credit_utilization_ratio,None specific — standard credit risk metric
Write-Off,Credit & Risk,"A lender's accounting action of removing an unrecoverable loan from its balance sheet after exhausting recovery efforts. A write-off in a borrower's credit history is among the most severe negative signals in credit assessment, indicating a prior lender concluded the debt was uncollectable. Represented as a binary flag (0/1) in this dataset.",SRC-002,write_off_flag,RBI Prudential Norms on Income Recognition and Asset Classification
Bounce Count,Credit & Risk,The number of times a cheque or electronic payment instruction (NACH/ECS mandate) was returned unpaid by the borrower's bank due to insufficient funds within a given period. In this dataset measured over 6 months. A high bounce count is a strong negative indicator of cash flow stress and repayment discipline.,SRC-003,bounce_count_6m,None specific — standard banking behaviour metric
Credit Inquiry,Credit & Risk,"A request made to a credit bureau to pull a borrower's credit report, typically triggered when a borrower applies for credit. Multiple inquiries in a short period (credit hungry behaviour) are treated as a negative signal by credit models, as they may indicate financial distress or aggressive borrowing. Measured here as count over 6 months.",SRC-002,credit_inquiries_6m,Credit Information Companies Regulation Act 2005
Cash Deposit Ratio,Credit & Risk,"The proportion of total bank credits that arrive as cash deposits rather than electronic transfers, expressed as a value between 0 and 1. A high cash deposit ratio may indicate a business operating significantly outside the formal banking system, which reduces the reliability of bank statement data as a proxy for total business revenue.",SRC-003,cash_deposit_ratio,None specific — standard bank statement metric
"MSME (Micro, Small and Medium Enterprise)",MSME Business,"A business classified under the MSME Development Act 2006 based on annual turnover thresholds revised in 2020: Micro (turnover up to ₹5 crore), Small (₹5–50 crore), Medium (₹50–250 crore). MSMEs constitute approximately 30% of India's GDP and employ over 110 million people. UGRO Capital exclusively targets MSME borrowers, making accurate MSME classification a prerequisite for regulatory reporting.",SRC-001,"sector, entity_type","MSME Development Act 2006, amended 2020"
Business Vintage,MSME Business,"The number of years a business has been in continuous operation, measured from the date of incorporation or registration to the loan application date. A key credit signal — longer vintage indicates business stability and survival through economic cycles. In MSME lending, businesses under 2 years old are typically classified as startups and assessed under different risk criteria.",SRC-001,business_vintage_years,None specific — standard underwriting criterion
Entity Type,MSME Business,"The legal structure under which a business is registered. Four types are recognised in this dataset: Proprietorship (single owner, no legal separation between owner and business), Partnership (two or more owners under Partnership Act 1932), Private Limited Company (incorporated under Companies Act 2013, limited liability), and LLP (Limited Liability Partnership, hybrid structure under LLP Act 2008). Entity type affects credit assessment because it determines personal liability, governance requirements, and financial statement availability.",SRC-001,entity_type,"Companies Act 2013, LLP Act 2008, Partnership Act 1932"
GST (Goods and Services Tax),MSME Business,"India's unified indirect tax introduced in 2017, replacing multiple state and central taxes. Businesses with annual turnover above ₹20 lakh (₹10 lakh in special category states) are required to register for GST. For MSME lenders, GST filing data provides an independently verified, government-sourced proxy for business revenue that is harder to manipulate than self-reported financials.",SRC-004,"gst_number, gst_registration_date",GST Act 2017
