risk_id,category,subcategory,risk_title,risk_description,likelihood,impact,inherent_risk_rating,control_description,control_effectiveness,residual_risk_rating,nist_function,regulatory_reference,owner,review_frequency,status
AR-001,Data Risk,Training Data,Reject Inference Bias,Model trained only on disbursed loans — no ground truth for rejected applicants. Model has never observed whether its own rejections were correct creating selection bias in training population.,High,High,Critical,Annual reject inference study; document limitation in model card; human review for borderline cases,Partial,High,MAP/MEASURE,RBI Digital Lending Guidelines 2022,Data Science,Annual,Open
AR-002,Data Risk,Training Data,Training Data Staleness,Model trained on historical data that may not reflect current MSME credit behaviour — economic cycles post-COVID and rate changes may have shifted default patterns significantly.,Medium,High,High,PSI monitoring dashboard; quarterly outcome validation; defined retraining triggers,Partial,Medium,MEASURE/MANAGE,RBI NBFC Master Direction,Model Risk Committee,Quarterly,Open
AR-003,Data Risk,Data Quality,Feature Data Degradation,Quality of bureau GST and banking data inputs may degrade in production — missing values out-of-range inputs or stale bureau pulls could corrupt model inputs without detection.,Medium,High,High,Great Expectations validation suite (94.3% recall); DQ scorecard monitoring; input validation at API layer,Partial,Medium,MEASURE,RBI IT Framework for NBFCs,Data Engineering,Monthly,Open
AR-004,Data Risk,Consent and Privacy,DPDP Act Consent Gap,Processing of personal financial data for credit scoring requires valid consent under DPDP Act 2023. Current privacy policy references withdrawn PDP Bill 2021 — material compliance gap.,High,High,Critical,Consent management system built (Module 3); privacy policy update required; DPO appointment needed,Partial,High,GOVERN,DPDP Act 2023 Section 6; DPDP Rules 2025,DPO/Compliance,Quarterly,Open — Critical
AR-005,Data Risk,Data Lineage,Undocumented Data Lineage,Transformation steps from raw bureau/GST/banking data to model features are not publicly documented — regulators and auditors cannot trace how features are derived from source data.,Medium,Medium,High,Data catalogue and lineage map built (Module 2); Mermaid lineage diagram; 6 assets documented,Implemented,Low,GOVERN/MAP,RBI IT Framework; ISO 42001 Clause 8.4,CDO Office,Annual,Partially Mitigated
AR-006,Model Risk,Model Performance,Default Recall Below Target,Model recall on default class is 0.59 — 41% of actual defaults are predicted as safe and approved. At average MSME loan sizes this represents material expected credit loss.,High,High,Critical,Scale_pos_weight=3.6 applied; threshold tuning options documented; outcome monitoring required,Partial,High,MEASURE/MANAGE,RBI NBFC Prudential Norms,Model Risk Committee,Quarterly,Open
AR-007,Model Risk,Model Calibration,Score Miscalibration by Group,Predicted default probabilities systematically over-estimate risk for Female proprietors northern states and Food Processing sector relative to actual observed default rates.,High,High,Critical,Bias audit complete (Module 5); fairness-constrained retraining planned; threshold adjustment interim measure,Partial,High,MEASURE/MANAGE,RBI Fair Practices Code; EU AI Act Article 10,Data Science + Compliance,Quarterly,Open — Critical
AR-008,Model Risk,Model Validation,Independent Validation Overdue,Last independent model validation was June 2024. Three open findings including one Critical (algorithmic bias). Next validation due June 2025.,Medium,High,High,Model inventory tracks validation schedule; MRF-001/002/003 findings documented,Partial,Medium,GOVERN/MANAGE,RBI NBFC Model Risk Guidelines,Model Risk Committee,Annual,Open
AR-009,Model Risk,Model Versioning,No Model Version Control Policy,No publicly documented policy for model versioning rollback procedures or change management for model updates. Risk of uncontrolled model changes in production.,Medium,Medium,Medium,Model saved in XGBoost JSON format; feature names versioned; git-based version control,Partial,Low,GOVERN,ISO 42001 Clause 8.5,Data Science,Annual,Open
AR-010,Model Risk,Overfitting,Model Overfitting Risk,XGBoost models with large feature sets are susceptible to overfitting — appearing to perform well on training data while failing on out-of-distribution production inputs.,Low,High,Medium,Train/test split stratified 80/20; AUC evaluated on held-out test set; moderate hyperparameters deliberately chosen,Implemented,Low,MEASURE,SR 11-7 Model Risk Guidelines,Data Science,Annual,Mitigated
AR-011,Bias and Fairness Risk,Gender Discrimination,Female Proprietor Bias — EOD Breach,Model produces higher predicted default rates for Female proprietors than actual default rates justify. Equalized Odds Difference of 0.172 breaches 0.10 threshold. Four-fifths rule breached.,High,High,Critical,Interim threshold adjustment; human review mandate for borderline cases; fairness-constrained retraining planned,Partial,High,MEASURE/MANAGE,RBI Fair Practices Code; DPDP Act 2023; EU AI Act Article 10,Data Science + Compliance,Quarterly,Open — Critical
AR-012,Bias and Fairness Risk,Geographic Discrimination,State-Level Geographic Bias — Severe EOD,Equalized Odds Difference of 0.446 across states — most severe finding in audit. Delhi: 10.1% actual default but 23.9% predicted. 6 of 10 states breach four-fifths rule.,High,High,Critical,State-level approval rate monitoring; Delhi retrospective review; state dummy replacement with economic indicators planned,Partial,High,MEASURE/MANAGE,RBI Fair Practices Code; RBI Priority Sector Lending; Constitution Art 15/16,Compliance + Data Science,Monthly,Open — Critical
AR-013,Bias and Fairness Risk,Sector Discrimination,Sector Bias — Food Processing Over-Prediction,Food Processing sector: 13.1% actual default but 29.7% predicted — 16.6pp over-prediction gap. EOD of 0.225 across sectors. Auto Components under-predicted.,High,Medium,Critical,Food Processing retrospective review; sector dummy replacement planned; sector monitoring added to dashboard,Partial,Medium,MEASURE/MANAGE,RBI Fair Practices Code; Constitution Art 15/16,Data Science + Compliance,Quarterly,Open — Critical
AR-014,Bias and Fairness Risk,Proxy Discrimination,Indirect Discrimination via Correlated Features,SHAP analysis confirms bias mechanism is distributional confounding not direct discrimination. Sector and state features proxy for gender/community correlations in training data. Removing protected attributes insufficient.,High,High,Critical,Proxy discrimination assessment planned; training data re-weighting; community correlation study commissioned,None,Critical,MAP/MANAGE,EU AI Act Article 10; Constitution Art 15/16,Data Science + Legal,Quarterly,Open — Critical
AR-015,Bias and Fairness Risk,Fairness Metric Conflict,Chouldechova Impossibility — No Single Fairness Solution,Mathematical impossibility of simultaneously satisfying demographic parity equalized odds and individual fairness when base rates differ. Board must make explicit policy decision on which criterion to prioritise.,High,Medium,High,Impossibility theorem documented in bias audit report; Board policy decision required; legal review initiated,None,High,GOVERN,NIST AI RMF GV-1; ISO 42001 Clause 6.1,Board Risk Committee,Annual,Open — Awaiting Board Decision
AR-016,Operational Risk,Monitoring,PSI Drift — DPD-90 Critical,Population Stability Index for dpd_90_count_12m reached 0.220 under simulated production drift — above 0.20 critical threshold. Model review triggered.,Medium,High,High,PSI monitoring dashboard operational (Module 4); monthly automated alerts; retraining triggers defined,Implemented,Medium,MEASURE/MANAGE,RBI NBFC Model Risk Guidelines,Data Science,Monthly,Monitoring Active
AR-017,Operational Risk,Explainability,No Right-to-Explanation Process,Rejected MSME applicants cannot currently receive an explanation of why their application was rejected. DPDP Act and RBI Fair Practices Code both support right to explanation.,High,Medium,High,SHAP-based rejection letter process planned; top-3 SHAP factors to be included in rejection communication,None,High,MANAGE,DPDP Act 2023; RBI Fair Practices Code,Compliance + Data Science,Quarterly,Open
AR-018,Operational Risk,Human Oversight,No Human-in-the-Loop for Borderline Cases,Fully automated credit decisions with no documented human override mechanism for borderline cases (predicted probability 0.35–0.65). EU AI Act Article 14 mandates human oversight for High Risk AI.,High,High,Critical,Human review mandate planned for borderline cases; escalation procedure to be documented,None,High,GOVERN/MANAGE,EU AI Act Article 14; RBI Digital Lending Guidelines,Credit Risk + Operations,Immediate,Open — Critical
AR-019,Operational Risk,Incident Response,No AI Incident Response Procedure,No publicly documented procedure for responding to AI failures — model producing incorrect outputs at scale discriminatory outcomes or regulatory breach. Response time and escalation path undefined.,High,High,Critical,AI incident response procedure developed (Module 6); P1-P4 classification; 4-hour P1 response target,Partial,Medium,MANAGE,NIST AI RMF MG-4; ISO 42001 Clause 10,CRO + Data Science,Annual,Partially Mitigated
AR-020,Operational Risk,Model Deployment,No Model Deployment Checklist,No publicly documented pre-deployment checklist requiring bias testing validation sign-off and compliance review before a new model version goes live.,Medium,High,High,Model inventory tracks deployment; model card documents limitations; governance checklist recommended,Partial,Medium,GOVERN,ISO 42001 Clause 8.4; SR 11-7,Model Risk Committee,Annual,Open
AR-021,Compliance Risk,DPDP Act,Privacy Policy References Withdrawn Legislation,UGRO Capital's public privacy policy references PDP Bill 2021 which was withdrawn. Enacted legislation is DPDP Act 2023. This is a citable public compliance gap.,High,High,Critical,Gap analysis complete (Module 3); 15 gaps identified — 4 critical; remediation plan documented,None — external,Critical,GOVERN,DPDP Act 2023; DPDP Rules 2025,DPO + Legal,Immediate,Open — Public Gap
AR-022,Compliance Risk,RBI,RBI Fair Practices Code — Discrimination Risk,Confirmed bias findings (gender EOD 0.172; state EOD 0.446; sector EOD 0.225) create material risk of breaching RBI Fair Practices Code prohibition on discriminatory lending.,High,High,Critical,Bias audit complete; mitigation roadmap with 16 actions; Board notification required,Partial,High,MANAGE,RBI Fair Practices Code; RBI Digital Lending Guidelines 2022,Compliance + CRO,Quarterly,Open — Critical
AR-023,Compliance Risk,EU AI Act,EU AI Act High Risk Non-Conformity,Credit scoring classified as High Risk AI under EU AI Act Annex III. Requires conformity assessment transparency obligations and human oversight. Current implementation lacks several required elements.,Medium,High,High,Model card documents EU AI Act classification; human oversight gap identified; conformity assessment not completed,Partial,High,GOVERN/MANAGE,EU AI Act Articles 6 9 13 14,Compliance + Legal,Annual,Open
AR-024,Compliance Risk,Data Localisation,Cross-Border Data Transfer Risk,Bureau and GST data processed for credit scoring — unclear whether any processing involves cross-border transfer which would require DPDP Act Chapter III compliance.,Low,High,Medium,Data lineage map identifies source systems; cross-border transfer assessment recommended,None,Medium,GOVERN,DPDP Act 2023 Chapter III,DPO + Legal,Annual,Open
AR-025,Compliance Risk,Regulatory Change,Evolving AI Regulation Risk,DPDP Rules 2025 still being finalised. RBI AI guidance evolving. MeitY AI framework under development. Regulatory landscape for AI in NBFC lending may change materially within 12 months.,Medium,Medium,Medium,Regulatory monitoring process recommended; quarterly regulatory horizon scan,None,Medium,GOVERN,DPDP Rules 2025; RBI; MeitY,Compliance,Quarterly,Open
AR-026,Reputational Risk,Media,Public Bias Disclosure Risk,If algorithmic bias findings (CRITICAL across all 3 protected attributes) were publicly disclosed — via regulatory action media investigation or whistleblower — reputational damage would be significant for a self-described DataTech NBFC.,Medium,High,High,Bias remediation underway; proactive regulatory engagement recommended; communications plan advised,Partial,Medium,MANAGE,N/A — Reputational,CRO + Communications,Annual,Open
AR-027,Reputational Risk,Regulatory Action,Regulatory Enforcement Risk,RBI enforcement action for Fair Practices Code breach would be publicly disclosed. DPDP Act enforcement by Data Protection Board carries financial penalties and public naming.,Medium,High,High,Compliance remediation programme in progress; legal review initiated; regulatory engagement recommended,Partial,Medium,MANAGE,DPDP Act 2023 Section 33; RBI Enforcement Policy,CRO + Legal,Quarterly,Open
AR-028,Reputational Risk,Financial Inclusion,Financial Inclusion Narrative Risk,UGRO Capital's mission includes financial inclusion for MSMEs. Systematic under-approval in UP WB MP (large MSME states) and for Female proprietors directly contradicts this stated mission.,High,Medium,High,Geographic and gender bias remediation planned; financial inclusion metrics to be added to model governance dashboard,Partial,Medium,MANAGE,RBI Priority Sector Lending; SIDBI MSME mandate,CRO + Strategy,Annual,Open
AR-029,Reputational Risk,ESG,ESG and Responsible Lending Risk,Institutional investors increasingly assess AI governance as part of ESG evaluation. CRITICAL bias findings and DPDP compliance gap may affect ESG ratings and investor sentiment.,Low,Medium,Medium,ESG disclosure of AI governance improvements recommended; Responsible AI Policy publication advised,None,Medium,GOVERN,SEBI ESG Disclosure Requirements,CFO + Investor Relations,Annual,Open
